japanese,kana,english
屋根裏にほこりがたまっていた。,やねうら に ほこり が たまっていた。,Dust had accumulated in the attic.
机の上にはほこりがたまっていた。,つくえ の うえ には ほこり が たまっていた。,Dust had accumulated on the desk.
かたまって行動するなと言ったんだ。,かたまって こうどう する なと いった ん だ。,I told you never to move in a group.
その箱をひっくりかえさないように注意してくれ。,その はこ を ひっくりかえさない よう に ちゅうい してくれ。,Take care not to turn the box upside down.
急かさないで。,せかさない で。,Don't rush me.
脅かさないでよ。,おびやかさない でよ。,Don't scare me like that!
びっくりした！いきなり後ろから脅かさないでよ！,びっくり した！いきなり うしろ から おびやかさない でよ！,You scared me! Don't sneak upon me from behind!
はぐらかさないで、俺の質問に答えて欲しいんです。,はぐらかさない で、おれ の しつもん に こたえて ほしい ん です。,"Don't dodge the issue, I want you to answer my question."
魚は頼んでない。,さかな は たのんでない。,I didn't order fish.
彼は魚が好きでない。,かれ は さかな が すき でない。,He doesn't like fish.
彼は私のいとこでない。,かれ は わたし の いとこ でない。,He isn't my cousin.
薬効の程は定かでない。,やっこう の ほど は さだか でない。,Whether the medicine will work or not is uncertain.
細かいのは必要でない。,こまかい の は ひつよう でない。,The details aren't necessary.
私はワインが好きでない。,わたし は ワイン が すき でない。,I don't care for wine.
彼女は幸せでないと思う。,かのじょ は しあわせ でない と おもう。,I don't think she is happy.
私はどの日曜日も暇でない。,わたし は どの にちようび も ひま でない。,I am never free on Sundays.
トムと僕はまだ死んでない。,トム と ぼく は まだ しんでない。,Tom and I aren't dead yet.
彼はもうここには住んでない。,かれ は もう ここ には すんでない。,He doesn't live here anymore.
英語で話すことは容易でない。,えいご で はなす こと は ようい でない。,Speaking English isn't easy.
意味が曖昧でない文章を書いて！,いみ が あいまい でない ぶんしょう を かいて！,Write a sentence that isn't vague in meaning!
私はあなたほど音楽は好きでない。,わたし は あなた ほど おんがく は すき でない。,I am not so fond of music as you are.
人生は楽しみや遊びばかりでない。,じんせい は たのしみ や あそび ばかり でない。,Life is not all fun and games.
彼の計画は中止されるべきでない。,かれ の けいかく は ちゅうし されるべきでない。,His plan ought not to be abandoned.
英語は簡単でない、しかし面白い。,えいご は かんたん でない、しかし おもしろい。,"English is not easy, but it is interesting."
英語をマスターするのは容易でない。,えいご を マスター する の は ようい でない。,English isn't easy to master.
卵をあまり固くゆでないでください。,たまご を あまり かたく ゆでない でください。,Please don't boil the eggs so hard.
大丈夫？ ストレス溜め込んでない？,だいじょうぶ？ストレス ためこんでない？,Are you okay? Are you stressed?
