Word,Reading,Meaning
空白,くうはく,"blank space, vacuum, space, null (NUL)"
白紙,はくし,"blank paper, white paper"
明白,めいはく,"obvious, clear, plain, evident, apparent, explicit, overt"
白血病,はっけつびょう,leukemia
自白,じはく,"confession, acknowledgement, acknowledgment"
白い,しろい,white
面白,おもしろ,"amusing, interesting"
西,にし,west
関西,"かんさい, かんせい","Kansai (south-western half of Japan, including Osaka)"
西側,にしがわ,"west side, west bank"
東西,とうざい,"East and West; whole country; Orient and Occident, Western and Eastern; Your attention, please!"
西欧,せいおう,Western Europe
大西洋,たいせいよう,Atlantic Ocean
西部,せいぶ,"the west, western part, the West"
南西,"なんせい, みなみにし",southwest
西日本,"にしにほん, にしにっぽん",western Japan
西洋,せいよう,"the west, Western countries"
電話,でんわ,telephone
電気,でんき,electricity; (electric) light
電力,でんりょく,electric power
電子,でんし,"electron; (esp. as a prefix) electronic, electronics"
電車,でんしゃ,(electric) train
家電,かでん,consumer electronics
電機,でんき,"electrical machinery, appliances"
電波,でんぱ,"electro-magnetic wave, radio wave; nonsense"
発電,はつでん,generation (e.g. power)
発電所,はつでんしょ,"power plant, power station"
天,"てん, あめ, あま",sky; heaven; svarga (heaven-like realm visited as a stage of death and rebirth); deva (divine being of Buddhism)
天皇,"てんのう, すめらぎ, すめろぎ",Emperor of Japan
天気,てんき,"weather, the elements; fair weather, fine weather"
天皇陛下,てんのうへいか,His Majesty the Emperor
天井,てんじょう,"ceiling, ceiling price"
天然,てんねん,"nature, spontaneity; natural airhead"
天候,てんこう,weather
天然ガス,てんねんガス,natural gas
天下り,あまくだり,retiring high-ranking government officials taking a lucrative job in a private or semi-private corporation
天国,てんごく,"paradise, heaven, Kingdom of Heaven"
英語,えいご,English (language)
日本語,"にほんご, にっぽんご",Japanese (language)
物語,ものがたり,"tale, story, legend"
語らう,かたらう,"to talk, to tell, to recite, to pledge, to conspire with"
語る,かたる,"to talk, to tell, to recite"
言語,"げんご, ごんご",language
語り,かたり,talking
用語,ようご,"term, terminology"
国語,こくご,Japanese (language); national language; native Japanese words (as opposed to loanwords)
外国語,がいこくご,foreign language
聞かす,きかす,"to inform about, to read to, to sing for"
新聞,しんぶん,newspaper
新聞社,しんぶんしゃ,newspaper company
聞き手,ききて,"hearer, listener, audience; interviewer, questioner"
新聞紙,しんぶんし,"newsprint, newspaper"
前代未聞,ぜんだいみもん,"unheard-of, unprecedented, unparalleled in history (unparallelled), record-breaking"
新聞記事,しんぶんきじ,"newspaper story (article, account)"
聞き書き,ききがき,account of what one hears
聞こえる,きこえる,"to be heard, to be audible; to be said to be, to be reputed"
聞き取り,ききとり,listening comprehension
食,しょく,"meal, (one's) diet, food, foodstuff(s); eclipse (solar, lunar, etc.)"
食事,しょくじ,meal; to eat
食品,しょくひん,"commodity, foodstuff"
食料,しょくりょう,food
食糧,しょくりょう,"provisions, rations, food supply"
昼食,"ちゅうしょく, ちゅうじき, ひるげ","lunch, midday meal; food served at a tea party (tea ceremony)"
飲食,いんしょく,"food and drink, eating and drinking"
給食,きゅうしょく,"school lunch, providing a meal"
夕食,ゆうしょく,"evening meal, dinner"
食べ物,たべもの,food
何,"なに, なん",what; how many (some counter); euph. for genitals or sex
何か,"なにか, なんか",something
何も,なにも,"nothing (with neg. verbs), not any; and everything else (with noun plus ""mo""), all"
何とか,なんとか,"something, something or other, so-and-so; somehow, anyhow, one way or another"
何の,どの,"which, what (way)"
何より,なにより,"most, best, above all"
何でも,なんでも,"any, whatever one likes, by all means, anything, everything"
何度,なんど,"how many times?, how often?"
何と,なんと,"what, how, whatever"
何とも,なんとも,"nothing (with neg. verb), quite, not a bit"
南,みなみ,south
南アフリカ,みなみアフリカ,South Africa
南北,なんぼく,south and north
東南,"とうなん, ひがしみなみ",south-east
南部,なんぶ,southern part
南西,"なんせい, みなみにし",southwest
中南米,ちゅうなんべい,Central and South America
南米,なんべい,South America
南極,なんきょく,"South Pole; the Antarctic, Antarctica"
南東,"なんとう, みなみひがし",southeast
火,ひ,"fire, flame, blaze"
火山,かざん,volcano
火災,かさい,"conflagration, fire"
噴火,ふんか,eruption
火砕流,かさいりゅう,"pyroclastic flow (type of volcanic eruption), stone wind"
放火,ほうか,"arson, set fire to"
火事,かじ,"fire, conflagration"
花火,はなび,fireworks
戦火,せんか,war
火器,かき,"firearms, guns"
右,みぎ,"right, right hand side; afore-mentioned (esp. in vertical Japanese writing), foregoing, forgoing, above"
右翼,うよく,right-wing
左右,さゆう,"left and right; influence, control, domination"
右派,うは,right wing
右手,みぎて,right hand
極右,きょくう,extreme right
右中間,うちゅうかん,between right and center fielders (baseball) (centre)
右腕,"みぎうで, うわん",right arm
右側,"みぎがわ, うそく","right side, right hand"
右岸,うがん,right bank (shore)
十万,じゅうまん,"100,000, hundred thousand"
百万,ひゃくまん,"1,000,000, one million; many"
万全,ばんぜん,"perfection, flawlessness"
数万,すうまん,tens of thousands
万里,ばんり,thousands of miles
万能,"ばんのう, まんのう","all-purpose, utility; almighty, omnipotent"
万一,"まんいち, まんいつ","by some chance, by some possibility, if by any chance, 10,000 to 1 odds"
万国,ばんこく,"all countries, the whole world, universal, all nations"
万人,"ばんにん, ばんじん, まんにん","all people, everybody; ten thousand people"
万歳,"ばんざい, ばんぜい","crying ""banzai"" (or raising one's hands in the banzai gesture); something worthy of celebration; giving up; long time; eternal life (and prosperity); banzai (a celebratory cheer), hurrah (hooray, hurray)"
左,ひだり,"left, left hand side"
向かって左,むかってひだり,on the left as one faces (it)
左翼,さよく,left-wing
左右,さゆう,"left and right; influence, control, domination"
左派,さは,left wing
左腕,"さわん, ひだりうで",left arm; left-handed (baseball pitcher)
左前,ひだりまえ,"downward course, being badly off, wearing a kimono with the right side tucked under the left"
左手,ひだりて,left hand
左側,"ひだりがわ, さそく","left, left (hand) side"
左記,さき,"undermentioned (statement), following"
休み,やすみ,"rest, recess, respite; vacation, holiday, absence, suspension; dormancy (of a silkworm prior to moulting)"
夏休み,なつやすみ,"summer vacation, summer holiday"
休暇,きゅうか,"holiday, day off, furlough"
休日,きゅうじつ,"holiday, day off"
休業,きゅうぎょう,"closed (e.g. store), business suspended, shutdown, holiday"
連休,れんきゅう,consecutive holidays
休する,きゅうする,to come to an end; to rest
休憩,きゅうけい,"rest, break, recess, intermission"
週休,しゅうきゅう,weekly holiday
休戦,きゅうせん,"truce, armistice"
毎日,まいにち,every day
毎年,"まいとし, まいねん","every year, yearly, annually"
毎週,まいしゅう,every week
毎月,"まいげつ, まいつき","every month, each month, monthly"
毎回,まいかい,"every time, each round"
毎朝,"まいあさ, まいちょう",every morning
毎晩,まいばん,every night
毎秒,まいびょう,every second
毎分,まいふん,"every minute, per minute"
毎度,まいど,each time; thank you for your continued patronage
母,はは,mother
お母さん,おかあさん,mother
母親,ははおや,mother
父母,"ふぼ, ちちはは","father and mother, parents"
母体,ぼたい,"mother's body, esp. when pregnant or after giving birth; parent body, parent organization, heartland"
母子,ぼし,mother and child
祖母,"そぼ, ばば, おおば, おば, うば",grandmother
母国,ぼこく,one's homeland
空母,くうぼ,aircraft carrier
母校,ぼこう,alma mater
読み,よみ,reading
読者,どくしゃ,reader
読書,"どくしょ, とくしょ",reading
読む,よむ,to read
積ん読,つんどく,buying books and not reading them
読売,よみうり,Yomiuri (newspaper)
朗読,ろうどく,"reading aloud, recitation"
購読,こうどく,subscription (e.g. magazine)
読み方,よみかた,"way of reading, how to read"
秒読み,びょうよみ,countdown
友,とも,"friend, companion, pal"
友人,ゆうじん,friend
友好,ゆうこう,friendship
友達,ともだち,"friend, companion"
住友,すみとも,Sumitomo (company)
住友銀行,すみともぎんこう,Sumitomo Bank
友情,ゆうじょう,"friendship, fellowship"
血友病,けつゆうびょう,haemophilia
友愛,ゆうあい,"fraternity, friendship"
親友,しんゆう,"close friend, bosom (old, intimate) friend, buddy, crony, chum"
父,ちち,father
お父さん,おとうさん,father
父親,ちちおや,father
父母,"ふぼ, ちちはは","father and mother, parents"
祖父,"そふ, じじ, じい, おおじ, おじ, そぶ",grandfather; old man; kyogen mask used for the role of an old man
義父,ぎふ,"father-in-law, foster father, stepfather"
神父,しんぷ,"Catholic priest, abbe"
祖父母,そふぼ,grandparents
叔父,"おじ, しゅくふ",uncle (younger than one's parent)
父子,ふし,father and child (son)
雨,あめ,rain
大雨,おおあめ,heavy rain
梅雨,"ばいう, つゆ",rainy season; rain during the rainy season
雨水,"あまみず, うすい","rain water; ""rain water"" solar term (approx. Feb 19)"
雨量,うりょう,rainfall
降雨,こうう,"rainfall, rain"
豪雨,ごうう,"heavy rain, cloudburst, downpour"
雨期,うき,rainy season
梅雨明け,つゆあけ,the end of the rainy season
長雨,"ながあめ, ながめ",long spell of rain
立場,たちば,"standpoint, position, situation"
